Team,DisplayName,ShortDisplayName,Division,Logo,BetterLogos,Color
Princeton Tigers,Princeton,Prince,AA,Princeton.png,,#f9a23a
Rhode Island Rams,Rhode Island,RI,AA,Rhode_Island.png,,#3792c6
Richmond Spiders,Richmond,Rich,AA,Richmond.png,,#013256
Robert Morris Colonials,Robert Morris,RM,AA,Robert_Morris.png,,#b41c2d
Sacramento State Hornets,Sacramento State,Sac St,AA,Sacramento_State.png,,#00573c
Sacred Heart Pioneers,Sacred Heart,SacHeart,AA,Sacred_Heart.png,,#ce1140
Saint Francis Red Flash,Saint Francis,SF,AA,St__Francis_(PA).png,,#d31647
Sam Houston State Bearkats,Sam Houston State,SHS,AA,Sam_Houston_State.png,,#f78f1e
Samford Bulldogs,Samford,Samford,AA,Samford.png,,#005485
San Diego Toreros,San Diego,San Diego,AA,San_Diego.png,,#2599d7
Savannah State Tigers,Savannah State,SavSt,AA,Savannah_State.png,,#fe1904
South Carolina State Bulldogs,SC State,SCS,AA,South_Carolina_State.png,,#79170c
South Dakota Coyotes,SD,SD,AA,South_Dakota.png,,#d31145
South Dakota State Jackrabbits,SD State,SDS,AA,South_Dakota_State.png,,#ffde00
Southeast Missouri State Redhawks,SE Missiouri State,SEMS,AA,Southeast_Missouri_State.png,,#f0131b
Southeastern Louisiana Lions,SE Louisiana,SELouis,AA,Southeastern_Louisiana.png,,#f0b510
Southern Illinois Salukis,SE Illinois,SIllinois,AA,Southern_Illinois.png,,#913248
Southern Jaguars,Southern Jaguars,Southern,AA,Southern_University.png,,#ffd10d
Southern Utah Thunderbirds,S. Utah,SU,AA,Southern_Utah.png,,#df0b41
Stephen F. Austin Lumberjacks,Stephen F. Austin,SFA,AA,Stephen_F__Austin.png,,#393a97
Stony Brook Seawolves,Stony Brook,StoBrook,AA,Stony_Brook.png,,#c22738
Tennessee State Tigers,Tenn. State,MTSU,AA,Tennessee_State.png,,#313384
Tennessee Tech Golden Eagles,Tenn. Tech,TennTech,AA,Tennessee_Tech.png,,#422489
Texas Southern Tigers,Texas South,TexSou,AA,Texas_Southern.png,,#70100e
The Citadel Bulldogs,Citadel,Citadel,AA,Citadel.png,,#9b8c87
Towson Tigers,Towson,Towson,AA,Towson.png,,#ffc625
UC Davis Aggies,UC Davis,UC Davis,AA,UC_Davis.png,,#cb992c
UT Martin Skyhawks,UT,UT,AA,Tennessee-Martin.png,,#f58220
Valparaiso Crusaders,Valparaiso,Val,AA,Valparaiso.png,,#ffd204
Villanova Wildcats,Villanova,Villa,AA,Villanova.png,,#13407f
VMI Keydets,VMI,VMI,AA,Virginia_Military_Institute.png,,#e52a34
Wagner Seahawks,Wagner,Wagner,AA,Wagner.png,,#00483a
Weber State Wildcats,Weber State,WebSt,AA,Weber_State.png,,#240466
Western Carolina Catamounts,West Carolina,WC,AA,Western_Carolina.png,,#492f91
Western Illinois Leathernecks,West Illinois,W-Ill,AA,Western_Illinois.png,,#7f3ba9
William & Mary Tribe,William & Mary,Will&Mary,AA,William_&_Mary.png,,#00593d
Wofford Terriers,Wofford,Wofford,AA,Wofford.png,,#ffd700
Yale Bulldogs,Yale,Yale,AA,Yale.png,,#255f89
Youngstown State Penguins,Youngstown,Young,AA,Youngstown_State.png,,#e51937
Texas A&M-Commerce Lions,Texas Commerce,Commerce Lions,AA,,Texas A&M-Commerce Lions.png,#e51937
NW Oklahoma State Rangers,NW Oklahoma State,NW OkState,AA,,NW Oklahoma State Rangers.png,#e51937
