Team,DisplayName,Division,Logo,Color
San Diego State Aztecs,SD State,A,San_Diego_State.png,#bf2c37
San Diego Toreros,San Diego,AA,San_Diego.png,#2599d7
San Jose State Spartans,San Jose State,A,San_Jose_State.png,#ffd721
Savannah State Tigers,Savannah State,AA,Savannah_State.png,#fe1904
SMU Mustangs,SMU,A,Southern_Methodist.png,#e32f38
South Alabama Jaguars,S. Alabama,A,South_Alabama.png,#d11241
South Carolina Gamecocks,SC,A,South_Carolina.png,#bd0303
South Carolina State Bulldogs,SC State,AA,South_Carolina_State.png,#79170c
South Dakota Coyotes,SD,AA,South_Dakota.png,#d31145
South Dakota State Jackrabbits,SD State,AA,South_Dakota_State.png,#ffde00
South Florida Bulls,South Florida,A,South_Florida.png,#004a37
Southeast Missouri State Redhawks,SE Missiouri State,AA,Southeast_Missouri_State.png,#f0131b
Southeastern Louisiana Lions,SE Louisiana,AA,Southeastern_Louisiana.png,#f0b510
Southern Illinois Salukis,SE Illinois,AA,Southern_Illinois.png,#913248
Southern Jaguars,Southern Jaguars,AA,Southern_University.png,#ffd10d
Southern Miss Golden Eagles,S. Miss,A,Southern_Miss.png,#ffaa3c
Southern Utah Thunderbirds,S. Utah,AA,Southern_Utah.png,#df0b41
Stanford Cardinal,Stanford,A,Stanford.png,#a80532
Stephen F. Austin Lumberjacks,Stephen F. Austin,AA,Stephen_F__Austin.png,#393a97
Stony Brook Seawolves,Stony Brook,AA,Stony_Brook.png,#c22738
Syracuse Orange,Syracuse,A,Syracuse.png,#f37321
TCU Horned Frogs,TCU,A,TCU.png,#322d77
Temple Owls,Temple,A,Temple.png,#a80532
Tennessee State Tigers,Tenn. State,AA,Tennessee_State.png,#313384
Tennessee Tech Golden Eagles,Tenn. Tech,AA,Tennessee_Tech.png,#422489
Tennessee Volunteers,Tenn. Volunteers,A,Tennessee.png,#ee9627
Texas A&M Aggies,Texas Aggies,A,Texas_A&M.png,#5c0025
Texas Longhorns,Texas,A,Texas.png,#ee7524
Texas Southern Tigers,Texas South,AA,Texas_Southern.png,#70100e
Texas State Bobcats,Texas State,A,Texas_State.png,#744143
Texas Tech Red Raiders,Texas Tech,A,Texas_Tech.png,#d40034
The Citadel Bulldogs,Citadel,AA,Citadel.png,#9b8c87
Toledo Rockets,Toledo,A,Toledo.png,#fff108
Towson Tigers,Towson,AA,Towson.png,#ffc625
Troy Trojans,Troy,A,Troy.png,#aa000a
Tulane Green Wave,Tulane,A,Tulane.png,#005838
Tulsa Golden Hurricane,Tulsa,A,Tulsa.png,#013b6c
UAB Blazers,UAB,A,UAB.png,#a29972
UC Davis Aggies,UC Davis,AA,UC_Davis.png,#cb992c
UCF Knights,UCF,A,UCF.png,#b4985a
UCLA Bruins,UCLA,A,UCLA.png,#005992
UConn Huskies,Uconn,A,Connecticut.png,#111c57
ULM Warhawks,ULM,A,Louisiana-Monroe.png,#c1a13e
UMass Minutemen,Umass,A,Massachusetts.png,#a5000c
UNLV Rebels,UNLV,A,UNLV.png,#d60124
USC Trojans,USC,A,USC.png,#ae2531
UT Martin Skyhawks,UT,AA,Tennessee-Martin.png,#f58220
Utah State Aggies,Utah State,A,Utah_State.png,#012e60
Utah Utes,Utah,A,Utah.png,#cd1041
UTEP Miners,UTEP,A,UTEP.png,#fe7c3d
UTSA Roadrunners,UTSA,A,UTSA.png,#f47321
Valparaiso Crusaders,Valparaiso,AA,Valparaiso.png,#ffd204
Vanderbilt Commodores,Vanderbilt,A,Vanderbilt.png,#b5890f
Villanova Wildcats,Villanova,AA,Villanova.png,#13407f
Virginia Cavaliers,Virginia,A,Virginia.png,#eb5016
Virginia Tech Hokies,Virginia Tech,A,Virginia_Tech.png,#751f27
VMI Keydets,VMI,AA,Virginia_Military_Institute.png,#e52a34
Wagner Seahawks,Wagner,AA,Wagner.png,#00483a
Wake Forest Demon Deacons,Wake Forest,A,Wake_Forest.png,#cc9a45
Washington Huskies,Washington,A,Washington.png,#2b2f64
Washington State Cougars,Wash. State,A,Washington_State.png,#97002f
Weber State Wildcats,Weber State,AA,Weber_State.png,#240466
West Virginia Mountaineers,West Virginia,A,West_Virginia.png,#ffc600
Western Carolina Catamounts,West Carolina,AA,Western_Carolina.png,#492f91
Western Illinois Leathernecks,West Illinois,AA,Western_Illinois.png,#7f3ba9
Western Kentucky Hilltoppers,West Kentucky,A,Western_Kentucky.png,#f52026
Western Michigan Broncos,West Michigan,A,Western_Michigan.png,#69360c
William & Mary Tribe,William & Mary,AA,William_&_Mary.png,#00593d
Wisconsin Badgers,Wisconsin,A,Wisconsin.png,#a00000
Wofford Terriers,Wofford,AA,Wofford.png,#ffd700
Wyoming Cowboys,Wyoming,A,Wyoming.png,#533b22
Yale Bulldogs,Yale,AA,Yale.png,#255f89
Youngstown State Penguins,Youngstown,AA,Youngstown_State.png,#e51937
